Date,Ticker,Yfinance_Ticker,Trade,Shares
15/01/19,VOO,VOO,Buy,2
15/01/19,VEA,VEA,Buy,10
15/01/19,VWO,VWO,Buy,3
15/01/19,BND,BND,Buy,6
15/01/19,BNDX,BNDX,Buy,4
15/02/19,VOO,VOO,Buy,2
15/02/19,VEA,VEA,Buy,11
15/02/19,VWO,VWO,Buy,3
15/02/19,BND,BND,Buy,7
15/02/19,BNDX,BNDX,Buy,4
15/03/19,VOO,VOO,Buy,3
15/03/19,VEA,VEA,Buy,11
15/03/19,VWO,VWO,Buy,4
15/03/19,BND,BND,Buy,8
15/03/19,BNDX,BNDX,Buy,5
15/04/19,VOO,VOO,Buy,2
15/04/19,VEA,VEA,Buy,10
15/04/19,VWO,VWO,Buy,3
15/04/19,BND,BND,Buy,7
15/04/19,BNDX,BNDX,Buy,4
15/05/19,VOO,VOO,Buy,2
15/05/19,VEA,VEA,Buy,11
15/05/19,VWO,VWO,Buy,3
15/05/19,BND,BND,Buy,7
15/05/19,BNDX,BNDX,Buy,4
15/06/19,VOO,VOO,Buy,2
15/06/19,VEA,VEA,Buy,11
15/06/19,VWO,VWO,Buy,4
15/06/19,BND,BND,Buy,7
15/06/19,BNDX,BNDX,Buy,4
15/07/19,VOO,VOO,Buy,2
15/07/19,VEA,VEA,Buy,11
15/07/19,VWO,VWO,Buy,3
15/07/19,BND,BND,Buy,8
15/07/19,BNDX,BNDX,Buy,5
15/08/19,VOO,VOO,Buy,2
15/08/19,VEA,VEA,Buy,12
15/08/19,VWO,VWO,Buy,4
15/08/19,BND,BND,Buy,7
15/08/19,BNDX,BNDX,Buy,4
15/09/19,VOO,VOO,Buy,2
15/09/19,VEA,VEA,Buy,11
15/09/19,VWO,VWO,Buy,3
15/09/19,BND,BND,Buy,7
15/09/19,BNDX,BNDX,Buy,4
15/10/19,VOO,VOO,Buy,2
15/10/19,VEA,VEA,Buy,11
15/10/19,VWO,VWO,Buy,4
15/10/19,BND,BND,Buy,7
15/10/19,BNDX,BNDX,Buy,4
15/11/19,VOO,VOO,Buy,2
15/11/19,VEA,VEA,Buy,11
15/11/19,VWO,VWO,Buy,4
15/11/19,BND,BND,Buy,7
15/11/19,BNDX,BNDX,Buy,4
15/12/19,VOO,VOO,Buy,2
15/12/19,VEA,VEA,Buy,10
15/12/19,VWO,VWO,Buy,3
15/12/19,BND,BND,Buy,7
15/12/19,BNDX,BNDX,Buy,4
15/01/20,VOO,VOO,Buy,2
15/01/20,VEA,VEA,Buy,10
15/01/20,VWO,VWO,Buy,3
15/01/20,BND,BND,Buy,7
15/01/20,BNDX,BNDX,Buy,5
15/02/20,VOO,VOO,Buy,2
15/02/20,VEA,VEA,Buy,10
15/02/20,VWO,VWO,Buy,3
15/02/20,BND,BND,Buy,7
15/02/20,BNDX,BNDX,Buy,4
15/03/20,VOO,VOO,Buy,3
15/03/20,VEA,VEA,Buy,14
15/03/20,VWO,VWO,Buy,4
15/03/20,BND,BND,Buy,7
